Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Industries,Organization Location,Organization Revenue Range,Number of Funding Rounds,Funding Status
Series C - Carta,https://www.crunchbase.com/funding_round/eshares-series-c--cdfe1a33,Carta,https://www.crunchbase.com/organization/eshares,Series C,,,,2018-01-30,"Finance, FinTech, Stock Exchanges","San Francisco, California, United States, North America",$10M to $50M,9,Late Stage Venture
Funding Round - Kudobuzz,https://www.crunchbase.com/funding_round/kudobuzz-undisclosed--ed8298a0,Kudobuzz,https://www.crunchbase.com/organization/kudobuzz,Funding Round,,,,2018-01-30,"Information Technology, Retail, Software","San Francisco, California, United States, North America",Less than $1M,3,
Seed Round - Genda,https://www.crunchbase.com/funding_round/genda-603f-seed--e801ce6e,Genda,https://www.crunchbase.com/organization/genda-603f,Seed,,,,2018-01-30,"Apps, Information Technology, Internet, Mobile Apps, Productivity Tools, Social Media, Software","Beverly Hills, California, United States, North America",,1,Seed
Seed Round - Aquabyte,https://www.crunchbase.com/funding_round/aquabyte-seed--7a59f08e,Aquabyte,https://www.crunchbase.com/organization/aquabyte,Seed,3500000,USD,3500000,2018-01-30,"Agriculture, Aquaculture, Information Services, Information Technology","San Francisco, California, United States, North America",$1M to $10M,2,Early Stage Venture
Post-IPO Equity - Biocept,https://www.crunchbase.com/funding_round/biocept-post-ipo-equity--ae3fffa9,Biocept,https://www.crunchbase.com/organization/biocept,Post-IPO Equity,14800000,USD,14800000,2018-01-30,"Biotechnology, Health Care, Health Diagnostics","San Diego, California, United States, North America",$1M to $10M,7,IPO
Venture Round - QED Therapeutics,https://www.crunchbase.com/funding_round/qed-therapeutics-series-unknown--47282a6d,QED Therapeutics,https://www.crunchbase.com/organization/qed-therapeutics,Venture - Series Unknown,65000000,USD,65000000,2018-01-30,"Biotechnology, Health Care, Therapeutics","Palo Alto, California, United States, North America",Less than $1M,1,
Pre Seed Round - TaskUnite,https://www.crunchbase.com/funding_round/taskunite-pre-seed--d660a2d0,TaskUnite,https://www.crunchbase.com/organization/taskunite,Pre-Seed,350000,USD,350000,2018-01-30,"Analytics, Health Care, Information Technology, Medical, Robotics, Software","San Francisco, California, United States, North America",,2,Seed
Debt Financing - PayJoy,https://www.crunchbase.com/funding_round/payjoy-debt-financing--e8354325,PayJoy,https://www.crunchbase.com/organization/payjoy,Debt Financing,4000000,USD,4000000,2018-01-30,"Credit, Emerging Markets, Financial Services, FinTech, Mobile, Software","San Francisco, California, United States, North America",$10M to $50M,9,Early Stage Venture
Series A - DiversyFund,https://www.crunchbase.com/funding_round/diversyfund-series-a--f6e5fea4,DiversyFund,https://www.crunchbase.com/organization/diversyfund,Series A,3000000,USD,3000000,2018-01-30,"Crowdfunding, FinTech, Real Estate Investment","San Diego, California, United States, North America",$1M to $10M,2,Early Stage Venture
Series A - Nuro,https://www.crunchbase.com/funding_round/nuro-2-series-a--cc5e2b8d,Nuro,https://www.crunchbase.com/organization/nuro-2,Series A,92000000,USD,92000000,2018-01-30,"Artificial Intelligence, Autonomous Vehicles, Electronics, Information Technology, Robotics","Mountain View, California, United States, North America",,3,Early Stage Venture
