Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Industries,Organization Location,Organization Revenue Range,Number of Funding Rounds,Funding Status
Funding Round - LendUp,https://www.crunchbase.com/funding_round/lendup-undisclosed--5e71c512,LendUp,https://www.crunchbase.com/organization/lendup,Funding Round,,,,2017-06-28,"Finance, FinTech, Lending","San Francisco, California, United States, North America",$10M to $50M,9,
Seed Round - Acquired.io,https://www.crunchbase.com/funding_round/acquired-io-seed--452fef88,Acquired.io,https://www.crunchbase.com/organization/acquired-io,Seed,2000000,USD,2000000,2017-06-28,"Developer Platform, Information Technology, Internet, Management Information Systems, Mobile Apps, Software","Foster City, California, United States, North America",,1,M&A
Series A - Cocoon Cam,https://www.crunchbase.com/funding_round/cocoon-cam-series-a--01144b3c,Cocoon Cam,https://www.crunchbase.com/organization/cocoon-cam,Series A,4000000,USD,4000000,2017-06-28,"Computer Vision, Consumer Electronics, Health Care, Parenting","Mountain View, California, United States, North America",$1M to $10M,4,Early Stage Venture
Series A - SimpleLegal,https://www.crunchbase.com/funding_round/simplelegal-series-a--79a9e405,SimpleLegal,https://www.crunchbase.com/organization/simplelegal,Series A,10000000,USD,10000000,2017-06-29,"Billing, Information Technology, Internet, Legal, SaaS, Software","Mountain View, California, United States, North America",$1M to $10M,2,M&A
Convertible Note - Omnity,https://www.crunchbase.com/funding_round/omnity-convertible-note--5b8c538d,Omnity,https://www.crunchbase.com/organization/omnity,Convertible Note,,,,2017-06-29,"Big Data, Information Technology, Knowledge Management","San Francisco, California, United States, North America",$1M to $10M,2,
Series A - Indi Molecular,https://www.crunchbase.com/funding_round/indi-molecular-series-a--fb361146,Indi Molecular,https://www.crunchbase.com/organization/indi-molecular,Series A,11500000,USD,11500000,2017-06-29,"Biotechnology, Health Care, Health Diagnostics","Culver City, California, United States, North America",Less than $1M,3,Early Stage Venture
Venture Round - Clarify Medical,https://www.crunchbase.com/funding_round/clarify-medical-series-unknown--2142799a,Clarify Medical,https://www.crunchbase.com/organization/clarify-medical,Venture - Series Unknown,,,,2017-06-29,"Health Care, Health Diagnostics, Medical, Medical Device, Therapeutics","La Jolla, California, United States, North America",Less than $1M,9,Early Stage Venture
Series B - Headspace,https://www.crunchbase.com/funding_round/headspace-series-b--1fe04578,Headspace,https://www.crunchbase.com/organization/headspace,Series B,36700000,USD,36700000,2017-06-30,"Health Care, Mobile Apps, Training, Wellness","Santa Monica, California, United States, North America",$100M to $500M,6,Late Stage Venture
Venture Round - Fast Forward,https://www.crunchbase.com/funding_round/fast-forward-3-series-unknown--d50c3638,Fast Forward,https://www.crunchbase.com/organization/fast-forward-3,Venture - Series Unknown,2200000,USD,2200000,2017-06-30,"Education, Information Technology, Management Information Systems","San Francisco, California, United States, North America",Less than $1M,3,
Series B - AutoGravity,https://www.crunchbase.com/funding_round/autogravity-series-b--d3b495b5,AutoGravity,https://www.crunchbase.com/organization/autogravity,Series B,30000000,USD,30000000,2017-06-30,"Automotive, Finance, Mobile","Irvine, California, United States, North America",$1M to $10M,4,Late Stage Venture
Pre Seed Round - DeepScribe,https://www.crunchbase.com/funding_round/deepscribe-pre-seed--b0e6ebb2,DeepScribe,https://www.crunchbase.com/organization/deepscribe,Pre-Seed,,,,2017-07-01,"Artificial Intelligence, Electronics, Health Care","Berkeley, California, United States, North America",,3,Seed
Seed Round - Outline,https://www.crunchbase.com/funding_round/outline-0db5-seed--469eb4be,Outline,https://www.crunchbase.com/organization/outline-0db5,Seed,,,,2017-07-01,"Information Technology, Insurance, Software","San Francisco, California, United States, North America",,2,
"Seed Round - Dilili Labs, Inc.",https://www.crunchbase.com/funding_round/dilili-labs-inc-seed--ad2ec5b7,"Dilili Labs, Inc.",https://www.crunchbase.com/organization/dilili-labs-inc,Seed,,,,2017-07-01,"Information Technology, Software","Santa Clara, California, United States, North America",,1,Seed
Seed Round - AstroReality,https://www.crunchbase.com/funding_round/quantum-technologies-d90f-seed--9178b2f9,AstroReality,https://www.crunchbase.com/organization/quantum-technologies-d90f,Seed,3000000,USD,3000000,2017-07-01,"Augmented Reality, Information Technology","Cupertino, California, United States, North America",,2,Early Stage Venture
Series B - CareMessage,https://www.crunchbase.com/funding_round/caremessage-series-b--2b57b492,CareMessage,https://www.crunchbase.com/organization/caremessage,Series B,12000000,USD,12000000,2017-07-01,"Health Care, Hospital, Messaging, mHealth","San Francisco, California, United States, North America",$1M to $10M,4,Early Stage Venture
