Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Industries,Organization Location,Organization Revenue Range,Number of Funding Rounds,Funding Status
Series A - AxleHire,https://www.crunchbase.com/funding_round/axlehire-series-a--5da9891d,AxleHire,https://www.crunchbase.com/organization/axlehire,Series A,11000000,USD,11000000,2019-05-30,"Delivery, Delivery Service, E-Commerce, Logistics, Transportation","San Francisco, California, United States, North America",$1M to $10M,4,Early Stage Venture
Series C - GrubMarket,https://www.crunchbase.com/funding_round/grubmarket-inc-series-c--94c1dd01,GrubMarket,https://www.crunchbase.com/organization/grubmarket-inc,Series C,28000000,USD,28000000,2019-04-04,"E-Commerce, Grocery, Internet, Marketing, Retail Technology","San Francisco, California, United States, North America",$1M to $10M,6,Late Stage Venture
Convertible Note - BSAMPLY,https://www.crunchbase.com/funding_round/bsamply-convertible-note--94b2c477,BSAMPLY,https://www.crunchbase.com/organization/bsamply,Convertible Note,570000,USD,570000,2017-11-10,"B2B, Data Integration, E-Commerce, Fashion, Operating Systems, SaaS, Sales Automation, Software, Textiles","Los Angeles, California, United States, North America",Less than $1M,3,Seed
Series A - Bolt,https://www.crunchbase.com/funding_round/bolt-5-series-a--4f562e82,Bolt,https://www.crunchbase.com/organization/bolt-5,Series A,22000000,USD,22000000,2018-06-01,"E-Commerce, Fraud Detection, Mobile Payments, Payments","San Francisco, California, United States, North America",Less than $1M,3,Early Stage Venture
Seed Round - Octane AI,https://www.crunchbase.com/funding_round/octane-ai-seed--eb0fa4bb,Octane AI,https://www.crunchbase.com/organization/octane-ai,Seed,1500000,USD,1500000,2017-09-18,"Artificial Intelligence, E-Commerce, Marketing Automation, Messaging, SaaS, SMS","San Francisco, California, United States, North America",$1M to $10M,2,Seed
Series B - Plastiq,https://www.crunchbase.com/funding_round/plastiq-series-b--54759c9e,Plastiq,https://www.crunchbase.com/organization/plastiq,Series B,16000000,USD,16000000,2018-05-16,"Credit Cards, E-Commerce, Financial Services, FinTech, Payments","San Francisco, California, United States, North America",$50M to $100M,8,Late Stage Venture
Seed Round - Finix,https://www.crunchbase.com/funding_round/finix-payments-seed--fc5205fe,Finix,https://www.crunchbase.com/organization/finix-payments,Seed,,,,2017-10-10,"Banking, E-Commerce, Financial Services, FinTech, Mobile, Payments","San Francisco, California, United States, North America",$1M to $10M,4,Early Stage Venture
Seed Round - Ocean Freight Exchange,https://www.crunchbase.com/funding_round/ocean-freight-exchange-seed--9fe814d0,Ocean Freight Exchange,https://www.crunchbase.com/organization/ocean-freight-exchange,Seed,3300000,USD,3300000,2018-07-01,E-Commerce,"Los Angeles, California, United States, North America",$1M to $10M,1,Seed
Pre Seed Round - Relovv,https://www.crunchbase.com/funding_round/relovv-pre-seed--016b4155,Relovv,https://www.crunchbase.com/organization/relovv,Pre-Seed,,,,2018-07-16,"E-Commerce, Fashion, Marketplace, Women's","Chatsworth, California, United States, North America",,1,Seed
Convertible Note - REPEAT,https://www.crunchbase.com/funding_round/getrepeat-convertible-note--c905e4e1,REPEAT,https://www.crunchbase.com/organization/getrepeat,Convertible Note,120000,USD,120000,2018-07-16,"CRM, E-Commerce, Machine Learning, Retail Technology","Los Angeles, California, United States, North America",,2,Seed
Pre Seed Round - Bloominous,https://www.crunchbase.com/funding_round/bloominous-pre-seed--f516f7b0,Bloominous,https://www.crunchbase.com/organization/bloominous,Pre-Seed,,,,2019-02-04,"E-Commerce, Events, Flowers, Wedding","Los Angeles, California, United States, North America",Less than $1M,3,Seed
Seed Round - Knowde,https://www.crunchbase.com/funding_round/knowde-seed--89b0754d,Knowde,https://www.crunchbase.com/organization/knowde,Seed,3500000,USD,3500000,2018-12-07,"Advertising, E-Commerce, Internet, Marketing","San Jose, California, United States, North America",$1M to $10M,2,Seed
Pre Seed Round - Knowde,https://www.crunchbase.com/funding_round/knowde-pre-seed--69de25fd,Knowde,https://www.crunchbase.com/organization/knowde,Pre-Seed,1300000,USD,1300000,2017-09-18,"Advertising, E-Commerce, Internet, Marketing","San Jose, California, United States, North America",$1M to $10M,2,Seed
Seed Round - StyleRow,https://www.crunchbase.com/funding_round/stylerow-seed--b44e2a80,StyleRow,https://www.crunchbase.com/organization/stylerow,Seed,4000000,USD,4000000,2019-06-01,"Architecture, E-Commerce, Furniture, Interior Design, Lighting, Software","Beverly Hills, California, United States, North America",,2,Seed
Pre Seed Round - DesignerInc,https://www.crunchbase.com/funding_round/designerinc-pre-seed--ace75074,DesignerInc,https://www.crunchbase.com/organization/designerinc,Pre-Seed,920000,USD,920000,2019-06-06,"B2B, E-Commerce, Furniture, Interior Design, Lighting, Marketplace","Palo Alto, California, United States, North America",,3,Seed
Convertible Note - BSAMPLY,https://www.crunchbase.com/funding_round/bsamply-convertible-note--7ca07ff0,BSAMPLY,https://www.crunchbase.com/organization/bsamply,Convertible Note,450000,USD,450000,2019-06-26,"B2B, Data Integration, E-Commerce, Fashion, Operating Systems, SaaS, Sales Automation, Software, Textiles","Los Angeles, California, United States, North America",Less than $1M,3,Seed
