Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Grant - Wikimedia Endowment,https://www.crunchbase.com/funding_round/wikimedia-endowment-grant--cf77b19a,Wikimedia Endowment,https://www.crunchbase.com/organization/wikimedia-endowment,Grant,1000000,USD,1000000,2018-09-25
Convertible Note - ViaCyte,https://www.crunchbase.com/funding_round/viacyte-convertible-note--96dd5230,ViaCyte,https://www.crunchbase.com/organization/viacyte,Convertible Note,10000000,USD,10000000,2018-09-25
Seed Round - LoanScan,https://www.crunchbase.com/funding_round/loanscan-seed--e1557ff5,LoanScan,https://www.crunchbase.com/organization/loanscan,Seed,,,,2018-09-25
Seed Round - EARTH AI,https://www.crunchbase.com/funding_round/earth-ai-seed--38a61cbf,EARTH AI,https://www.crunchbase.com/organization/earth-ai,Seed,1075000,AUD,779154,2018-09-25
Series A - MODE,https://www.crunchbase.com/funding_round/mode-inc-series-a--73bd6c94,MODE,https://www.crunchbase.com/organization/mode-inc,Series A,3000000,USD,3000000,2018-09-25
Series B - Ceribell,https://www.crunchbase.com/funding_round/ceribell-series-b--8828cc92,Ceribell,https://www.crunchbase.com/organization/ceribell,Series B,35000000,USD,35000000,2018-09-25
Series A - onelightsystem OLS,https://www.crunchbase.com/funding_round/onelightsystem-ols-series-a--b8848d1f,onelightsystem OLS,https://www.crunchbase.com/organization/onelightsystem-ols,Series A,,,,2018-09-25
Venture Round - Akoya Biosciences,https://www.crunchbase.com/funding_round/akoya-biosciences-series-unknown--6ab345f0,Akoya Biosciences,https://www.crunchbase.com/organization/akoya-biosciences,Venture - Series Unknown,24500000,USD,24500000,2018-09-26
Private Equity Round - TapClicks,https://www.crunchbase.com/funding_round/tapclicks-private-equity--de2bd379,TapClicks,https://www.crunchbase.com/organization/tapclicks,Private Equity,10000000,USD,10000000,2018-09-26
Venture Round - Names & Faces,https://www.crunchbase.com/funding_round/names-faces-series-unknown--ebbdb33e,Names & Faces,https://www.crunchbase.com/organization/names-faces,Venture - Series Unknown,3077000,USD,3077000,2018-09-27
Venture Round - Ontera,https://www.crunchbase.com/funding_round/ontera-inc-series-unknown--30e15871,Ontera,https://www.crunchbase.com/organization/ontera-inc,Venture - Series Unknown,2869984,USD,2869984,2018-09-27
Venture Round - Aiva Health,https://www.crunchbase.com/funding_round/aiva-health-series-unknown--69aa3cce,Aiva Health,https://www.crunchbase.com/organization/aiva-health,Venture - Series Unknown,,,,2018-09-27
Series C - Nozomi Networks,https://www.crunchbase.com/funding_round/nozomi-networks-series-c--d0cb213b,Nozomi Networks,https://www.crunchbase.com/organization/nozomi-networks,Series C,30000000,USD,30000000,2018-09-27
Venture Round - PerceptiMed,https://www.crunchbase.com/funding_round/perceptimed-series-unknown--64521e09,PerceptiMed,https://www.crunchbase.com/organization/perceptimed,Venture - Series Unknown,2067000,USD,2067000,2018-09-27
Venture Round - Advera Health Analytics,https://www.crunchbase.com/funding_round/adverseevents-series-unknown--0d6271ae,Advera Health Analytics,https://www.crunchbase.com/organization/adverseevents,Venture - Series Unknown,700000,USD,700000,2018-09-28
Convertible Note - AnimalBiome,https://www.crunchbase.com/funding_round/animalbiome-convertible-note--c67247e4,AnimalBiome,https://www.crunchbase.com/organization/animalbiome,Convertible Note,,,,2018-09-28
Pre Seed Round - ScribeLink,https://www.crunchbase.com/funding_round/scribelink-corporation-pre-seed--c5f1673e,ScribeLink,https://www.crunchbase.com/organization/scribelink-corporation,Pre-Seed,325000,USD,325000,2018-09-30
Seed Round - Decision Engines,https://www.crunchbase.com/funding_round/decision-engines-seed--e5e77359,Decision Engines,https://www.crunchbase.com/organization/decision-engines,Seed,,,,2018-10-01
Grant - Neurona Therapeutics,https://www.crunchbase.com/funding_round/neuron-therapeutics-grant--3b957345,Neurona Therapeutics,https://www.crunchbase.com/organization/neuron-therapeutics,Grant,1500000,USD,1500000,2018-10-01
Seed Round - Digital Medical Tech,https://www.crunchbase.com/funding_round/digital-medical-tech-seed--9413a7cb,Digital Medical Tech,https://www.crunchbase.com/organization/digital-medical-tech,Seed,,,,2018-10-01
Seed Round - SureConsent,https://www.crunchbase.com/funding_round/sureconsent-seed--acae00aa,SureConsent,https://www.crunchbase.com/organization/sureconsent,Seed,,,,2018-10-01
Seed Round - Nicolette,https://www.crunchbase.com/funding_round/nicolette-seed--c5262bb0,Nicolette,https://www.crunchbase.com/organization/nicolette,Seed,,,,2018-10-01
