Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Cocoon Cam,https://www.crunchbase.com/funding_round/cocoon-cam-series-a--01144b3c,Cocoon Cam,https://www.crunchbase.com/organization/cocoon-cam,Series A,4000000,USD,4000000,2017-06-28
Seed Round - Acquired.io,https://www.crunchbase.com/funding_round/acquired-io-seed--452fef88,Acquired.io,https://www.crunchbase.com/organization/acquired-io,Seed,2000000,USD,2000000,2017-06-28
Series A - SimpleLegal,https://www.crunchbase.com/funding_round/simplelegal-series-a--79a9e405,SimpleLegal,https://www.crunchbase.com/organization/simplelegal,Series A,10000000,USD,10000000,2017-06-29
Series A - Indi Molecular,https://www.crunchbase.com/funding_round/indi-molecular-series-a--fb361146,Indi Molecular,https://www.crunchbase.com/organization/indi-molecular,Series A,11500000,USD,11500000,2017-06-29
Venture Round - Clarify Medical,https://www.crunchbase.com/funding_round/clarify-medical-series-unknown--2142799a,Clarify Medical,https://www.crunchbase.com/organization/clarify-medical,Venture - Series Unknown,,,,2017-06-29
Convertible Note - Omnity,https://www.crunchbase.com/funding_round/omnity-convertible-note--5b8c538d,Omnity,https://www.crunchbase.com/organization/omnity,Convertible Note,,,,2017-06-29
Venture Round - Fast Forward,https://www.crunchbase.com/funding_round/fast-forward-3-series-unknown--d50c3638,Fast Forward,https://www.crunchbase.com/organization/fast-forward-3,Venture - Series Unknown,2200000,USD,2200000,2017-06-30
Series B - Headspace,https://www.crunchbase.com/funding_round/headspace-series-b--1fe04578,Headspace,https://www.crunchbase.com/organization/headspace,Series B,36700000,USD,36700000,2017-06-30
Pre Seed Round - DeepScribe,https://www.crunchbase.com/funding_round/deepscribe-pre-seed--b0e6ebb2,DeepScribe,https://www.crunchbase.com/organization/deepscribe,Pre-Seed,,,,2017-07-01
Seed Round - Outline,https://www.crunchbase.com/funding_round/outline-0db5-seed--469eb4be,Outline,https://www.crunchbase.com/organization/outline-0db5,Seed,,,,2017-07-01
"Seed Round - Dilili Labs, Inc.",https://www.crunchbase.com/funding_round/dilili-labs-inc-seed--ad2ec5b7,"Dilili Labs, Inc.",https://www.crunchbase.com/organization/dilili-labs-inc,Seed,,,,2017-07-01
Seed Round - AstroReality,https://www.crunchbase.com/funding_round/quantum-technologies-d90f-seed--9178b2f9,AstroReality,https://www.crunchbase.com/organization/quantum-technologies-d90f,Seed,3000000,USD,3000000,2017-07-01
Seed Round - DeepAffects,https://www.crunchbase.com/funding_round/seernet-technologies-seed--58e4c9b6,DeepAffects,https://www.crunchbase.com/organization/seernet-technologies,Seed,200000,USD,200000,2017-07-01
Convertible Note - Magnetic Insight,https://www.crunchbase.com/funding_round/magnetic-insight-inc-convertible-note--a1866242,Magnetic Insight,https://www.crunchbase.com/organization/magnetic-insight-inc,Convertible Note,2500000,USD,2500000,2017-07-01
Seed Round - SMBRate,https://www.crunchbase.com/funding_round/smbrate-seed--f66bced7,SMBRate,https://www.crunchbase.com/organization/smbrate,Seed,120000,USD,120000,2017-07-01
Series B - CareMessage,https://www.crunchbase.com/funding_round/caremessage-series-b--2b57b492,CareMessage,https://www.crunchbase.com/organization/caremessage,Series B,12000000,USD,12000000,2017-07-01
Pre Seed Round - Shipsi,https://www.crunchbase.com/funding_round/shipsi-inc-pre-seed--befaba3e,Shipsi,https://www.crunchbase.com/organization/shipsi-inc,Pre-Seed,500000,USD,500000,2017-07-01
Seed Round - Mendel.ai,https://www.crunchbase.com/funding_round/mendel-health-seed--6318b5d3,Mendel.ai,https://www.crunchbase.com/organization/mendel-health,Seed,2000000,USD,2000000,2017-07-01
Seed Round - Actijoy,https://www.crunchbase.com/funding_round/actijoy-seed--e9355611,Actijoy,https://www.crunchbase.com/organization/actijoy,Seed,100000,USD,100000,2017-07-01
Grant - Voxel Healthcare,https://www.crunchbase.com/funding_round/voxel-healthcare-grant--44d0f8e8,Voxel Healthcare,https://www.crunchbase.com/organization/voxel-healthcare,Grant,225000,USD,225000,2017-07-01
Series B - Kineticor,https://www.crunchbase.com/funding_round/kineticor-28dc-series-b--6d6d1ea3,Kineticor,https://www.crunchbase.com/organization/kineticor-28dc,Series B,2500000,USD,2500000,2017-07-01
Venture Round - Smart Orbis,https://www.crunchbase.com/funding_round/smart-orbis-series-unknown--8db319d8,Smart Orbis,https://www.crunchbase.com/organization/smart-orbis,Venture - Series Unknown,,,,2017-07-01
Grant - dfusion,https://www.crunchbase.com/funding_round/dfusion-grant--1d4797a9,dfusion,https://www.crunchbase.com/organization/dfusion,Grant,225000,USD,225000,2017-07-01
Seed Round - Ledgersync,https://www.crunchbase.com/funding_round/ledgersync-seed--88cf6109,Ledgersync,https://www.crunchbase.com/organization/ledgersync,Seed,180000,USD,180000,2017-07-01
Seed Round - Just Appraised,https://www.crunchbase.com/funding_round/just-appraised-seed--a4fbc472,Just Appraised,https://www.crunchbase.com/organization/just-appraised,Seed,120000,USD,120000,2017-07-01
Pre Seed Round - Rocket,https://www.crunchbase.com/funding_round/rocket-pre-seed--7b1ff27d,Rocket,https://www.crunchbase.com/organization/rocket,Pre-Seed,,,,2017-07-02
Seed Round - RIGS Inc,https://www.crunchbase.com/funding_round/rigs-seed--b385cc20,RIGS Inc,https://www.crunchbase.com/organization/rigs,Seed,100000,USD,100000,2017-07-03
Convertible Note - BioVentrix,https://www.crunchbase.com/funding_round/bioventrix-convertible-note--f8ddb231,BioVentrix,https://www.crunchbase.com/organization/bioventrix,Convertible Note,14504967,USD,14504967,2017-07-03
Series D - Clover Health,https://www.crunchbase.com/funding_round/clover-health-series-d--019e88dc,Clover Health,https://www.crunchbase.com/organization/clover-health,Series D,,,,2017-07-05
Seed Round - Zensoft.IO,https://www.crunchbase.com/funding_round/zensoft-io-seed--22530dac,Zensoft.IO,https://www.crunchbase.com/organization/zensoft-io,Seed,300000,USD,300000,2017-07-05
Debt Financing - Outset Medical,https://www.crunchbase.com/funding_round/outset-medical-debt-financing--18b5d474,Outset Medical,https://www.crunchbase.com/organization/outset-medical,Debt Financing,4287536,USD,4287536,2017-07-05
Grant - Quantbio,https://www.crunchbase.com/funding_round/quantbio-grant--c1cb37fa,Quantbio,https://www.crunchbase.com/organization/quantbio,Grant,35000,EUR,39713,2017-07-05
"Seed Round - QubeChain, LLC.",https://www.crunchbase.com/funding_round/qubechain-llc-seed--3c27bf35,"QubeChain, LLC.",https://www.crunchbase.com/organization/qubechain-llc,Seed,1800000,USD,1800000,2017-07-05
Venture Round - Health Essentials,https://www.crunchbase.com/funding_round/health-essentials-series-unknown--73ca9352,Health Essentials,https://www.crunchbase.com/organization/health-essentials,Venture - Series Unknown,8500000,USD,8500000,2017-07-05
Grant - dr Poket Inc,https://www.crunchbase.com/funding_round/dr-poket-grant--8b5aff74,dr Poket Inc,https://www.crunchbase.com/organization/dr-poket,Grant,50000,EUR,56733,2017-07-05
Private Equity Round - Leonard Green & Partners,https://www.crunchbase.com/funding_round/leonard-green-partners-private-equity--1192d23c,Leonard Green & Partners,https://www.crunchbase.com/organization/leonard-green-partners,Private Equity,,,,2017-07-06
Venture Round - Stroke Project,https://www.crunchbase.com/funding_round/stroke-project-series-unknown--87dfff40,Stroke Project,https://www.crunchbase.com/organization/stroke-project,Venture - Series Unknown,20999993,USD,20999993,2017-07-06
Series B - Innovative Cardiovascular Solutions,https://www.crunchbase.com/funding_round/innovative-cardiovascular-solutions-series-b--a68dd606,Innovative Cardiovascular Solutions,https://www.crunchbase.com/organization/innovative-cardiovascular-solutions,Series B,5000000,USD,5000000,2017-07-06
Venture Round - RBO Ventures,https://www.crunchbase.com/funding_round/rbo-ventures-series-unknown--4aceeb92,RBO Ventures,https://www.crunchbase.com/organization/rbo-ventures,Venture - Series Unknown,1655487,USD,1655487,2017-07-07
Venture Round - DIVA Corp of America,https://www.crunchbase.com/funding_round/diva-corp-of-america-series-unknown--2a808fbe,DIVA Corp of America,https://www.crunchbase.com/organization/diva-corp-of-america,Venture - Series Unknown,1000000,USD,1000000,2017-07-07
Seed Round - datavest,https://www.crunchbase.com/funding_round/datavest-seed--41be23e1,datavest,https://www.crunchbase.com/organization/datavest,Seed,235000,USD,235000,2017-07-07
Venture Round - Farapulse,https://www.crunchbase.com/funding_round/iowa-approach-series-unknown--0369665d,Farapulse,https://www.crunchbase.com/organization/iowa-approach,Venture - Series Unknown,5000000,USD,5000000,2017-07-10
Private Equity Round - EP Wealth Advisors,https://www.crunchbase.com/funding_round/ep-wealth-advisors-private-equity--17975a7b,EP Wealth Advisors,https://www.crunchbase.com/organization/ep-wealth-advisors,Private Equity,,,,2017-07-10
Venture Round - Strong Force Intellectual Capital,https://www.crunchbase.com/funding_round/strong-force-intellectual-capital-series-unknown--6aa93771,Strong Force Intellectual Capital,https://www.crunchbase.com/organization/strong-force-intellectual-capital,Venture - Series Unknown,7750000,USD,7750000,2017-07-10
Pre Seed Round - Virgo Surgical Video Solutions,https://www.crunchbase.com/funding_round/virgo-marketing-pre-seed--a38f3ab1,Virgo Surgical Video Solutions,https://www.crunchbase.com/organization/virgo-marketing,Pre-Seed,100000,USD,100000,2017-07-10
Convertible Note - Freedcamp,https://www.crunchbase.com/funding_round/freedcamp-convertible-note--a8824be3,Freedcamp,https://www.crunchbase.com/organization/freedcamp,Convertible Note,50000,USD,50000,2017-07-10
Series E - Talari Networks,https://www.crunchbase.com/funding_round/talari-networks-series-e--f120f064,Talari Networks,https://www.crunchbase.com/organization/talari-networks,Series E,999997,USD,999997,2017-07-10
Series A - nPhase,https://www.crunchbase.com/funding_round/nphase-series-a--2984fa99,nPhase,https://www.crunchbase.com/organization/nphase,Series A,,,,2017-07-10
Seed Round - Incredible Health,https://www.crunchbase.com/funding_round/incredible-health-seed--543ddf67,Incredible Health,https://www.crunchbase.com/organization/incredible-health,Seed,,,,2017-07-11
Series A - Genoox,https://www.crunchbase.com/funding_round/genoox-series-a--f8709cdc,Genoox,https://www.crunchbase.com/organization/genoox,Series A,6000000,USD,6000000,2017-07-11
Series A - Ephesoft,https://www.crunchbase.com/funding_round/ephesoft-series-a--6801ca9c,Ephesoft,https://www.crunchbase.com/organization/ephesoft,Series A,15000000,USD,15000000,2017-07-11
Pre Seed Round - Harbor,https://www.crunchbase.com/funding_round/harbor-pension-pre-seed--183fdd34,Harbor,https://www.crunchbase.com/organization/harbor-pension,Pre-Seed,100000,USD,100000,2017-07-12
Post-IPO Debt - Humanigen,https://www.crunchbase.com/funding_round/kalobios-pharmaceuticals-post-ipo-debt--4fa62bd7,Humanigen,https://www.crunchbase.com/organization/kalobios-pharmaceuticals,Post-IPO Debt,5000000,USD,5000000,2017-07-12
Series A - E-scape Bio,https://www.crunchbase.com/funding_round/e-scape-bio-series-a--065861db,E-scape Bio,https://www.crunchbase.com/organization/e-scape-bio,Series A,63000000,USD,63000000,2017-07-12
Venture Round - Gridspace,https://www.crunchbase.com/funding_round/gridspace-series-unknown--ea1af7db,Gridspace,https://www.crunchbase.com/organization/gridspace,Venture - Series Unknown,,,,2017-07-12
Series D - Lightbend,https://www.crunchbase.com/funding_round/typesafe-series-d--8cca5ecd,Lightbend,https://www.crunchbase.com/organization/typesafe,Series D,15000000,USD,15000000,2017-07-12
Series A - Gong.io,https://www.crunchbase.com/funding_round/gong-io-series-a--171fe8af,Gong.io,https://www.crunchbase.com/organization/gong-io,Series A,20000000,USD,20000000,2017-07-12
"Equity Crowdfunding - Zoi, Inc.",https://www.crunchbase.com/funding_round/zoi-inc-equity-crowdfunding--1e5492fb,"Zoi, Inc.",https://www.crunchbase.com/organization/zoi-inc,Equity Crowdfunding,51863,USD,51863,2017-07-13
Seed Round - BloomAPI,https://www.crunchbase.com/funding_round/bloomapi-seed--94d0d20b,BloomAPI,https://www.crunchbase.com/organization/bloomapi,Seed,2400000,USD,2400000,2017-07-13
Seed Round - MyLabBox,https://www.crunchbase.com/funding_round/mylabbox-seed--32622768,MyLabBox,https://www.crunchbase.com/organization/mylabbox,Seed,1084728,USD,1084728,2017-07-13
Seed Round - 100Plus,https://www.crunchbase.com/funding_round/100plus-seed--1baf20fa,100Plus,https://www.crunchbase.com/organization/100plus,Seed,3000000,USD,3000000,2017-07-13
Venture Round - Akoya Biosciences,https://www.crunchbase.com/funding_round/akoya-biosciences-series-unknown--65e67fde,Akoya Biosciences,https://www.crunchbase.com/organization/akoya-biosciences,Venture - Series Unknown,9000000,USD,9000000,2017-07-14
Seed Round - Fleet,https://www.crunchbase.com/funding_round/fleet-3-seed--34b64754,Fleet,https://www.crunchbase.com/organization/fleet-3,Seed,,,,2017-07-14
Seed Round - Dark,https://www.crunchbase.com/funding_round/dark-seed--811b298f,Dark,https://www.crunchbase.com/organization/dark,Seed,3500000,USD,3500000,2017-07-15
Grant - kēlaHealth,https://www.crunchbase.com/funding_round/kelahealth-grant--7bc882cd,kēlaHealth,https://www.crunchbase.com/organization/kelahealth,Grant,225000,USD,225000,2017-07-15
Seed Round - Crossing Minds,https://www.crunchbase.com/funding_round/crossing-minds-seed--12cefb25,Crossing Minds,https://www.crunchbase.com/organization/crossing-minds,Seed,3500000,USD,3500000,2017-07-15
Debt Financing - Camino Financial,https://www.crunchbase.com/funding_round/camino-financial-debt-financing--424488b4,Camino Financial,https://www.crunchbase.com/organization/camino-financial,Debt Financing,800000,USD,800000,2017-07-15
Convertible Note - PatternEx,https://www.crunchbase.com/funding_round/patternex-convertible-note--7c4dafcf,PatternEx,https://www.crunchbase.com/organization/patternex,Convertible Note,,,,2017-07-16
Series A - SpaceIQ,https://www.crunchbase.com/funding_round/spaceiq-series-a--1675cadd,SpaceIQ,https://www.crunchbase.com/organization/spaceiq,Series A,7000000,USD,7000000,2017-07-16
Series A - JOANY,https://www.crunchbase.com/funding_round/impact-health-series-a--f69bb27a,JOANY,https://www.crunchbase.com/organization/impact-health,Series A,13000000,USD,13000000,2017-07-17
Convertible Note - DirecTech Labs,https://www.crunchbase.com/funding_round/directechlabs-convertible-note--1ff6b9d7,DirecTech Labs,https://www.crunchbase.com/organization/directechlabs,Convertible Note,100000,USD,100000,2017-07-17
Seed Round - anthro.is,https://www.crunchbase.com/funding_round/anthro-is-seed--2a820aeb,anthro.is,https://www.crunchbase.com/organization/anthro-is,Seed,700000,USD,700000,2017-07-17
Seed Round - Mira,https://www.crunchbase.com/funding_round/mira-labs-seed--a30ba678,Mira,https://www.crunchbase.com/organization/mira-labs,Seed,1500000,USD,1500000,2017-07-18
Series C - Menlo Therapeutics,https://www.crunchbase.com/funding_round/menlo-therapeutics-series-c--e9c2ddda,Menlo Therapeutics,https://www.crunchbase.com/organization/menlo-therapeutics,Series C,50500000,USD,50500000,2017-07-18
Series B - Alation,https://www.crunchbase.com/funding_round/alation-series-b--9dd27944,Alation,https://www.crunchbase.com/organization/alation,Series B,23000000,USD,23000000,2017-07-18
Series C - Silk Road Medical,https://www.crunchbase.com/funding_round/silk-road-medical-series-c--16ffcace,Silk Road Medical,https://www.crunchbase.com/organization/silk-road-medical,Series C,47000000,USD,47000000,2017-07-18
Series A - StackRox,https://www.crunchbase.com/funding_round/stackrox-series-a--f3fb8ccb,StackRox,https://www.crunchbase.com/organization/stackrox,Series A,14000000,USD,14000000,2017-07-18
Series A - Molekule,https://www.crunchbase.com/funding_round/molekule-series-a--27197b87,Molekule,https://www.crunchbase.com/organization/molekule,Series A,10100000,USD,10100000,2017-07-19
Series B - Simplify Medical,https://www.crunchbase.com/funding_round/simplify-medical-series-b--bcebbc46,Simplify Medical,https://www.crunchbase.com/organization/simplify-medical,Series B,21000000,USD,21000000,2017-07-19
Grant - Stanford University School of Medicine,https://www.crunchbase.com/funding_round/stanford-university-school-of-medicine-grant--5ac5f93b,Stanford University School of Medicine,https://www.crunchbase.com/organization/stanford-university-school-of-medicine,Grant,10000000,USD,10000000,2017-07-19
Seed Round - eatOS by POSLABS,https://www.crunchbase.com/funding_round/poslabs-inc-seed--6a1e0e30,eatOS by POSLABS,https://www.crunchbase.com/organization/poslabs-inc,Seed,50000,USD,50000,2017-07-19
Seed Round - ScaleFT,https://www.crunchbase.com/funding_round/scaleft-seed--124e3bfc,ScaleFT,https://www.crunchbase.com/organization/scaleft,Seed,2000000,USD,2000000,2017-07-19
Venture Round - AxiaMed,https://www.crunchbase.com/funding_round/axiamed-series-unknown--e75db76d,AxiaMed,https://www.crunchbase.com/organization/axiamed,Venture - Series Unknown,3350073,USD,3350073,2017-07-19
Series D - Acorns,https://www.crunchbase.com/funding_round/acorns-grow-series-d--9647f57f,Acorns,https://www.crunchbase.com/organization/acorns-grow,Series D,35000000,USD,35000000,2017-07-20
