Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Grant - Aldatu Biosciences,https://www.crunchbase.com/funding_round/aldatu-biosciences-grant--09b7201f,Aldatu Biosciences,https://www.crunchbase.com/organization/aldatu-biosciences,Grant,200000,USD,200000,2017-06-28
Venture Round - CleanBreak,https://www.crunchbase.com/funding_round/cleanbreak-series-unknown--5f9bc3c3,CleanBreak,https://www.crunchbase.com/organization/cleanbreak,Venture - Series Unknown,2000000,USD,2000000,2017-06-28
Series A - The Medically Home,https://www.crunchbase.com/funding_round/the-medically-home-series-a--da644036,The Medically Home,https://www.crunchbase.com/organization/the-medically-home,Series A,14035000,USD,14035000,2017-06-29
Venture Round - LifeYield,https://www.crunchbase.com/funding_round/lifeyield-series-unknown--1eda8376,LifeYield,https://www.crunchbase.com/organization/lifeyield,Venture - Series Unknown,,,,2017-06-30
Grant - VocaliD,https://www.crunchbase.com/funding_round/vocalid-grant--2b5feb29,VocaliD,https://www.crunchbase.com/organization/vocalid,Grant,100000,USD,100000,2017-07-01
Seed Round - Profility,https://www.crunchbase.com/funding_round/profility-seed--10d539df,Profility,https://www.crunchbase.com/organization/profility,Seed,,,,2017-07-01
Seed Round - Smilo,https://www.crunchbase.com/funding_round/smilo-seed--a17b9163,Smilo,https://www.crunchbase.com/organization/smilo,Seed,1250000,USD,1250000,2017-07-02
Angel Round - Affect,https://www.crunchbase.com/funding_round/affect-angel--ac06fd9b,Affect,https://www.crunchbase.com/organization/affect,Angel,25000,USD,25000,2017-07-05
Seed Round - Activ Surgical,https://www.crunchbase.com/funding_round/omniboros-seed--ba839058,Activ Surgical,https://www.crunchbase.com/organization/omniboros,Seed,1500000,USD,1500000,2017-07-06
Grant - Insightfil,https://www.crunchbase.com/funding_round/insightfil-grant--003c4658,Insightfil,https://www.crunchbase.com/organization/insightfil,Grant,5840,USD,5840,2017-07-07
Series C - Allurion Technologies,https://www.crunchbase.com/funding_round/allurion-technologies-series-c--12aa521a,Allurion Technologies,https://www.crunchbase.com/organization/allurion-technologies,Series C,27000000,USD,27000000,2017-07-11
